pdb_id,status,n_nodes,n_edges,message
7LCN,missing,,,PDB not found in ZIP
7LD1,missing,,,PDB not found in ZIP
7LJR,missing,,,PDB not found in ZIP
7LKA,missing,,,PDB not found in ZIP
7LM8,missing,,,PDB not found in ZIP
7LOP,missing,,,PDB not found in ZIP
7LQ7,missing,,,PDB not found in ZIP
7LQV,missing,,,PDB not found in ZIP
7LQW,missing,,,PDB not found in ZIP
7LRS,missing,,,PDB not found in ZIP
7LS9,missing,,,PDB not found in ZIP
7LSS,missing,,,PDB not found in ZIP
7LXW,missing,,,PDB not found in ZIP
7LXX,missing,,,PDB not found in ZIP
7LY0,missing,,,PDB not found in ZIP
7M3I,missing,,,PDB not found in ZIP
7M42,missing,,,PDB not found in ZIP
7M51,missing,,,PDB not found in ZIP
7M6D,missing,,,PDB not found in ZIP
7M6E,missing,,,PDB not found in ZIP
7M6F,missing,,,PDB not found in ZIP
7M6G,missing,,,PDB not found in ZIP
7M6H,missing,,,PDB not found in ZIP
7M6I,missing,,,PDB not found in ZIP
7M7B,missing,,,PDB not found in ZIP
7M7W,missing,,,PDB not found in ZIP
7M8J,missing,,,PDB not found in ZIP
7MF1,missing,,,PDB not found in ZIP
7MJJ,missing,,,PDB not found in ZIP
7MKL,missing,,,PDB not found in ZIP
7MLZ,missing,,,PDB not found in ZIP
7MMO,missing,,,PDB not found in ZIP
7MSQ,missing,,,PDB not found in ZIP
7MW2,missing,,,PDB not found in ZIP
7MW5,missing,,,PDB not found in ZIP
7MXP,missing,,,PDB not found in ZIP
7MZF,missing,,,PDB not found in ZIP
7MZG,missing,,,PDB not found in ZIP
7MZH,missing,,,PDB not found in ZIP
7MZI,missing,,,PDB not found in ZIP
7MZJ,missing,,,PDB not found in ZIP
7MZK,missing,,,PDB not found in ZIP
7MZL,missing,,,PDB not found in ZIP
7MZM,missing,,,PDB not found in ZIP
7MZN,missing,,,PDB not found in ZIP
7N01,missing,,,PDB not found in ZIP
7N3F,missing,,,PDB not found in ZIP
7N3H,missing,,,PDB not found in ZIP
7N4I,missing,,,PDB not found in ZIP
7N4J,missing,,,PDB not found in ZIP
7N4L,missing,,,PDB not found in ZIP
7N5H,missing,,,PDB not found in ZIP
7N62,missing,,,PDB not found in ZIP
7N8H,missing,,,PDB not found in ZIP
7NAB,missing,,,PDB not found in ZIP
7ND6,missing,,,PDB not found in ZIP
7NDB,missing,,,PDB not found in ZIP
7NDC,missing,,,PDB not found in ZIP
7NP1,missing,,,PDB not found in ZIP
7NTC,missing,,,PDB not found in ZIP
7NX6,missing,,,PDB not found in ZIP
7OR9,missing,,,PDB not found in ZIP
7P40,missing,,,PDB not found in ZIP
7PQZ,missing,,,PDB not found in ZIP
7PR0,missing,,,PDB not found in ZIP
7PRY,missing,,,PDB not found in ZIP
7PRZ,missing,,,PDB not found in ZIP
7PS0,missing,,,PDB not found in ZIP
7PS1,missing,,,PDB not found in ZIP
7PS2,missing,,,PDB not found in ZIP
7PS3,missing,,,PDB not found in ZIP
7PS4,missing,,,PDB not found in ZIP
7PS5,missing,,,PDB not found in ZIP
7PS6,missing,,,PDB not found in ZIP
7PS7,missing,,,PDB not found in ZIP
7Q0G,missing,,,PDB not found in ZIP
7Q6E,missing,,,PDB not found in ZIP
7Q9F,missing,,,PDB not found in ZIP
